element1, element2, cn, bond_energy(eV)
Pd,Ir,6,-0.49247362677485823
Pd,Ir,7,-0.4559419822760495
Pd,Ir,8,-0.4264946714808835
Pd,Ir,9,-0.40210303245874873
Pd,Ir,10,-0.38146843098907857
Pd,Ir,11,-0.3637158779263004
Pd,Ir,12,-0.34823144104803516
Pd,Pt,0,None
Pd,Pt,1,-1.161668558869472
Pd,Pt,2,-0.8214237154678077
Pd,Pt,3,-0.6706896551724143
Pd,Pt,4,-0.580834279434736
Pd,Pt,5,-0.5195139729912711
Pd,Pt,6,-0.4742492032440814
Pd,Pt,7,-0.4390694446644884
Pd,Pt,8,-0.41071185773390384
Pd,Pt,9,-0.38722285295649067
Pd,Pt,10,-0.36735185322329267
Pd,Pt,11,-0.35025624913844744
Pd,Pt,12,-0.33534482758620715
Pd,Au,0,None
Pd,Au,1,-1.5150862421234104
Pd,Au,2,-1.0713277558879069
Pd,Au,3,-0.8747354497354496
Pd,Au,4,-0.7575431210617052
Pd,Au,5,-0.6775671658325302
Pd,Au,6,-0.6185313682522008
Pd,Au,7,-0.5726487730677052
Pd,Au,8,-0.5356638779439534
Pd,Au,9,-0.5050287473744701
Pd,Au,10,-0.47911233766953204
Pd,Au,11,-0.4568156900139006
Pd,Au,12,-0.4373677248677248
Ag,Ni,0,None
Ag,Ni,1,-1.223413352106749
Ag,Ni,2,-0.8650838774688475
Ag,Ni,3,-0.7063380281690139
Ag,Ni,4,-0.6117066760533745
Ag,Ni,5,-0.5471270839783152
Ag,Ni,6,-0.4994564095282444
Ag,Ni,7,-0.4624067829014795
Ag,Ni,8,-0.43254193873442376
Ag,Ni,9,-0.40780445070224963
Ag,Ni,10,-0.38687727125188837
Ag,Ni,11,-0.36887300476809487
Ag,Ni,12,-0.35316901408450696
Ag,Cu,0,None
Ag,Cu,1,-1.1827661764648583
Ag,Cu,2,-0.8363419839363859
Ag,Cu,3,-0.6828703703703703
Ag,Cu,4,-0.5913830882324291
Ag,Cu,5,-0.528949114412587
Ag,Cu,6,-0.4828622695602582
Ag,Cu,7,-0.44704359458067877
Ag,Cu,8,-0.41817099196819296
Ag,Cu,9,-0.39425539215495276
Ag,Cu,10,-0.3740235057037592
Ag,Cu,11,-0.35661742018701986
Ag,Cu,12,-0.3414351851851852
Ag,Rh,0,None
Ag,Rh,1,-0.5815747833544276
Ag,Rh,2,-0.41123547307701297
Ag,Rh,3,-0.33577235772357705
Ag,Rh,4,-0.2907873916772138
Ag,Rh,5,-0.2600881499160426
Ag,Rh,6,-0.23742691108133657
Ag,Rh,7,-0.2198146065060117
Ag,Rh,8,-0.20561773653850648
Ag,Rh,9,-0.19385826111814253
Ag,Rh,10,-0.18391009451189713
Ag,Rh,11,-0.17535139490171506
Ag,Rh,12,-0.16788617886178853
Ag,Pd,0,None
Ag,Pd,1,-2.1447493333229435
