element1, element2, cn, bond_energy(eV)
Au,Ni,3,-2.7573873873873884
Au,Ni,4,-2.3879675255522814
Au,Ni,5,-2.135863086078747
Au,Ni,6,-1.9497673199798802
Au,Ni,7,-1.8051337747170326
Au,Ni,8,-1.6885480305712783
Au,Ni,9,-1.5919783503681877
Au,Ni,10,-1.5102832718523085
Au,Ni,11,-1.439998598874607
Au,Ni,12,-1.3786936936936942
Au,Cu,0,None
Au,Cu,1,-2.592508905186129
Au,Cu,2,-1.833180627143624
Au,Cu,3,-1.4967857142857137
Au,Cu,4,-1.2962544525930646
Au,Cu,5,-1.1594052288539483
Au,Cu,6,-1.0583873285545784
Au,Cu,7,-0.9798762621204039
Au,Cu,8,-0.916590313571812
Au,Cu,9,-0.864169635062043
Au,Cu,10,-0.8198232994657679
Au,Cu,11,-0.7816708458324957
Au,Cu,12,-0.7483928571428569
Au,Rh,0,None
Au,Rh,1,-1.9203769668045403
Au,Rh,2,-1.3579115756619438
Au,Rh,3,-1.1087301587301583
Au,Rh,4,-0.9601884834022701
Au,Rh,5,-0.8588186880399618
Au,Rh,6,-0.7839906137441323
Au,Rh,7,-0.7258342682373363
Au,Rh,8,-0.6789557878309719
Au,Rh,9,-0.6401256556015135
Au,Rh,10,-0.607276518122791
Au,Rh,11,-0.5790154413574042
Au,Rh,12,-0.5543650793650792
Au,Pd,0,None
Au,Pd,1,-0.7157768694453288
Au,Pd,2,-0.5061306782012701
Au,Pd,3,-0.4132539682539682
Au,Pd,4,-0.3578884347226644
Au,Pd,5,-0.32010514736034945
Au,Pd,6,-0.2922146833046312
Au,Pd,7,-0.27053822725209814
Au,Pd,8,-0.25306533910063506
Au,Pd,9,-0.2385922898151096
Au,Pd,10,-0.2263485203912222
Au,Pd,11,-0.21581484632412345
Au,Pd,12,-0.2066269841269841
Au,Ag,0,None
Au,Ag,1,-1.4091857117204922
Au,Ag,2,-0.9964447727087513
Au,Ag,3,-0.8135937500000006
Au,Ag,4,-0.7045928558602461
Au,Ag,5,-0.6302070088656885
Au,Ag,6,-0.5752976577559931
Au,Ag,7,-0.5326221349025686
Au,Ag,8,-0.49822238635437566
Au,Ag,9,-0.46972857057349743
Au,Ag,10,-0.44562364952021905
Au,Ag,11,-0.42488547870061844
Au,Ag,12,-0.4067968750000003
Au,Ir,0,None
Au,Ir,1,-1.732510644066462
Au,Ir,2,-1.2250700248972681
Au,Ir,3,-1.0002654867256637
Au,Ir,4,-0.866255322033231
Au,Ir,5,-0.7748023143749103
Au,Ir,6,-0.7072945086505794
Au,Ir,7,-0.6548274725674571
Au,Ir,8,-0.6125350124486341
Au,Ir,9,-0.577503548022154
Au,Ir,10,-0.5478679705735303
Au,Ir,11,-0.5223716137877662
Au,Ir,12,-0.5001327433628319
Au,Pt,0,None
Au,Pt,1,-1.6687413642577404
Au,Pt,2,-1.1799783347131387
Au,Pt,3,-0.9634482758620698
Au,Pt,4,-0.8343706821288702
Au,Pt,5,-0.746283825469209
Au,Pt,6,-0.6812608091845571
Au,Pt,7,-0.6307249503303757
Au,Pt,8,-0.5899891673565694
Au,Pt,9,-0.5562471214192468
Au,Pt,10,-0.5277023536791157
Au,Pt,11,-0.5031444524898829
Au,Pt,12,-0.4817241379310349
Au,Au,0,None
Au,Au,1,-1.0998522628062373
Au,Au,2,-0.7777129933336592
Au,Au,3,-0.6350000000000001
Au,Au,4,-0.5499261314031186
Au,Au,5,-0.491868884968342
Au,Au,6,-0.4490128060534578
Au,Au,7,-0.41570508089956554
Au,Au,8,-0.3888564966668296
Au,Au,9,-0.36661742093541244
Au,Au,10,-0.3478038240157805
Au,Au,11,-0.33161793459560446
Au,Au,12,-0.31750000000000006
