Chemical_Formula,Ag,Au,Mixing_Parameter,BCM_CE_eV,SE_Energy_eV,BCM_EE_eV,
Ag169Au140,169,140,0.080103359,-3.091506456,-49.37879078,-0.055224272,49.37879078
Ag170Au139,170,139,0.089147287,-3.088641782,-49.37178138,-0.054889955,49.37178138
Ag171Au138,171,138,0.087855297,-3.086244516,-49.37056742,-0.055023048,49.37056742
Ag172Au137,172,137,0.096899225,-3.083379842,-49.36217454,-0.054688731,49.36217454
Ag173Au136,173,136,0.095607235,-3.080982576,-49.36070875,-0.054821823,49.36070875
Ag174Au135,174,135,0.099483204,-3.078428327,-49.36205612,-0.054797931,49.36205612
Ag175Au134,175,134,0.103359173,-3.075720637,-49.35095893,-0.054620599,49.35095893
Ag176Au133,176,133,0.102067183,-3.073323371,-49.35092351,-0.054753691,49.35092351
Ag177Au132,177,132,0.105943152,-3.070769122,-49.35445833,-0.0547298,49.35445833
Ag178Au131,178,131,0.109819121,-3.068061431,-49.3431955,-0.054552467,49.3431955
Ag179Au130,179,130,0.108527132,-3.065664166,-49.33967896,-0.054685559,49.33967896
Ag180Au129,180,129,0.112403101,-3.063109917,-49.34593905,-0.054661668,49.34593905
Ag181Au128,181,128,0.11627907,-3.060402226,-49.33694777,-0.054484335,49.33694777
Ag182Au127,182,127,0.11498708,-3.058004961,-49.33648194,-0.054617428,49.33648194
Ag183Au126,183,126,0.118863049,-3.055450712,-49.34080554,-0.054593536,49.34080554
Ag184Au125,184,125,0.122739018,-3.052743021,-49.3276783,-0.054416203,49.3276783
Ag185Au124,185,124,0.121447028,-3.050345756,-49.32459734,-0.054549296,49.32459734
Ag186Au123,186,123,0.125322997,-3.047791507,-49.33146553,-0.054525404,49.33146553
Ag187Au122,187,122,0.129198966,-3.045083816,-49.32147169,-0.054348071,49.32147169
Ag188Au121,188,121,0.127906977,-3.042686551,-49.32332096,-0.054481164,49.32332096
Ag189Au120,189,120,0.131782946,-3.040132302,-49.3248591,-0.054457272,49.3248591
Ag190Au119,190,119,0.135658915,-3.037424611,-49.31631339,-0.05427994,49.31631339
Ag191Au118,191,118,0.134366925,-3.035027346,-49.31383142,-0.054413032,49.31383142
Ag192Au117,192,117,0.138242894,-3.032473096,-49.32025468,-0.05438914,49.32025468
Ag193Au116,193,116,0.142118863,-3.029765406,-49.31109189,-0.054211808,49.31109189
